int,binary,isPrime
0,00000000,0
1,00000001,0
2,00000010,1
3,00000011,1
4,00000100,0
5,00000101,1
6,00000110,0
7,00000111,1
8,00001000,0
9,00001001,0
10,00001010,0
11,00001011,1
12,00001100,0
13,00001101,1
14,00001110,0
15,00001111,0
16,00010000,0
17,00010001,1
18,00010010,0
19,00010011,1
20,00010100,0
21,00010101,0
22,00010110,0
23,00010111,1
24,00011000,0
25,00011001,0
26,00011010,0
27,00011011,0
28,00011100,0
29,00011101,1
30,00011110,0
31,00011111,1
32,00100000,0
33,00100001,0
34,00100010,0
35,00100011,0
36,00100100,0
37,00100101,1
38,00100110,0
39,00100111,0
40,00101000,0
41,00101001,1
42,00101010,0
43,00101011,1
44,00101100,0
45,00101101,0
46,00101110,0
47,00101111,1
48,00110000,0
49,00110001,0
50,00110010,0
51,00110011,0
52,00110100,0
53,00110101,1
54,00110110,0
55,00110111,0
56,00111000,0
57,00111001,0
58,00111010,0
59,00111011,1
60,00111100,0
61,00111101,1
62,00111110,0
63,00111111,0
64,01000000,0
65,01000001,0
66,01000010,0
67,01000011,1
68,01000100,0
69,01000101,0
70,01000110,0
71,01000111,1
72,01001000,0
73,01001001,1
74,01001010,0
75,01001011,0
76,01001100,0
77,01001101,0
78,01001110,0
79,01001111,1
80,01010000,0
81,01010001,0
82,01010010,0
83,01010011,1
84,01010100,0
85,01010101,0
86,01010110,0
87,01010111,0
88,01011000,0
89,01011001,1
90,01011010,0
91,01011011,0
92,01011100,0
93,01011101,0
94,01011110,0
95,01011111,0
96,01100000,0
97,01100001,1
98,01100010,0
99,01100011,0
100,01100100,0
101,01100101,1
102,01100110,0
103,01100111,1
104,01101000,0
105,01101001,0
106,01101010,0
107,01101011,1
108,01101100,0
109,01101101,1
110,01101110,0
111,01101111,0
112,01110000,0
113,01110001,1
114,01110010,0
115,01110011,0
116,01110100,0
117,01110101,0
118,01110110,0
119,01110111,0
120,01111000,0
121,01111001,0
122,01111010,0
123,01111011,0
124,01111100,0
125,01111101,0
126,01111110,0
127,01111111,1
128,10000000,0
129,10000001,0
130,10000010,0
131,10000011,1
132,10000100,0
133,10000101,0
134,10000110,0
135,10000111,0
136,10001000,0
137,10001001,1
138,10001010,0
139,10001011,1
140,10001100,0
141,10001101,0
142,10001110,0
143,10001111,0
144,10010000,0
145,10010001,0
146,10010010,0
147,10010011,0
148,10010100,0
149,10010101,1
150,10010110,0
151,10010111,1
152,10011000,0
153,10011001,0
154,10011010,0
155,10011011,0
156,10011100,0
157,10011101,1
158,10011110,0
159,10011111,0
160,10100000,0
161,10100001,0
162,10100010,0
163,10100011,1
164,10100100,0
165,10100101,0
166,10100110,0
167,10100111,1
168,10101000,0
169,10101001,0
170,10101010,0
171,10101011,0
172,10101100,0
173,10101101,1
174,10101110,0
175,10101111,0
176,10110000,0
177,10110001,0
178,10110010,0
179,10110011,1
180,10110100,0
181,10110101,1
182,10110110,0
183,10110111,0
184,10111000,0
185,10111001,0
186,10111010,0
187,10111011,0
188,10111100,0
189,10111101,0
190,10111110,0
191,10111111,1
192,11000000,0
193,11000001,1
194,11000010,0
195,11000011,0
196,11000100,0
197,11000101,1
198,11000110,0
199,11000111,1
200,11001000,0
201,11001001,0
202,11001010,0
203,11001011,0
204,11001100,0
205,11001101,0
206,11001110,0
207,11001111,0
208,11010000,0
209,11010001,0
210,11010010,0
211,11010011,1
212,11010100,0
213,11010101,0
214,11010110,0
215,11010111,0
216,11011000,0
217,11011001,0
218,11011010,0
219,11011011,0
220,11011100,0
221,11011101,0
222,11011110,0
223,11011111,1
224,11100000,0
225,11100001,0
226,11100010,0
227,11100011,1
228,11100100,0
229,11100101,1
230,11100110,0
231,11100111,0
232,11101000,0
233,11101001,1
234,11101010,0
235,11101011,0
236,11101100,0
237,11101101,0
238,11101110,0
239,11101111,1
240,11110000,0
241,11110001,1
242,11110010,0
243,11110011,0
244,11110100,0
245,11110101,0
246,11110110,0
247,11110111,0
248,11111000,0
249,11111001,0
250,11111010,0
251,11111011,1
252,11111100,0
253,11111101,0
254,11111110,0
255,11111111,0
